CPID,LocalMagnitude,NeuralMagnitude,TotalRAC,Synced Til,Address,CPID_Valid,Witnesses
09bdda2bb1cb504c240e21123bad955a,25,0,140,12/31/2015 6:00:00 AM,RzNk3wmL5s9JtsP1eD4wyw21fJzMh5h4kU,True,1,
09d1b096d4e3fa8010b9e16446edbd51,1.25,0,23.75,12/31/2015 6:00:00 AM,RzxQpBN8r8DGv1K1aDyszL5njjm6r3xf6t,True,1,
09d2afaeb77938028de93d7e55844f55,65,0,6240,12/31/2015 6:00:00 AM,SF3pWhb1FStH81ghQweAGA3edTSCmDqXho,True,1,
09f1bf33e6ff75b4dd3ef008cdfa9e10,100,0,29333.33,12/31/2015 6:00:00 AM,S2MQXHzfCyLqSzL41JdEfyikLcpXTs8hiW,True,1,
09feedb884e76a7508f46616a173e13c,0,0,0,12/31/2015 6:00:00 AM,SLeRbvVg58BsQtSh79oJb4jiLe8m3HB2Ls,True,1,
0a44debe1cee8f97d4180c69ca7f0dde,195,0,807333.33,12/31/2015 6:00:00 AM,SLqz22Xx69mgAjMrFEwMm7qJByfiKXEf22,True,1,
0a6430aac4c1110f38294f64516bd988,11.25,0,750,12/31/2015 6:00:00 AM,SCwYLYr43rvVGF4cFMCUa2KLmiZDzeRba8,True,1,
0a66e96aeb59fb5da1c2beb2598aa47f,1.25,0,560,12/31/2015 6:00:00 AM,Rz6VEQUNAetddesE8r7SC2Bf3dVzumnHhz,True,1,
0a93341c56bb24f6f9a75ffb35aca5dc,0,0,365,12/31/2015 6:00:00 AM,SHz56UPTUP1Z88DyU9R6mWKtV4tzEuDZUt,True,1,
0aac95f4d6361b3a3bcf16eac5185a04,240,0,28500,12/31/2015 6:00:00 AM,RymrbLs1rHSLGfXhS4MrPrqHbkqR6UA399,True,1,
0add105d11302d959471f2c998f528cb,0,0,0,12/31/2015 6:00:00 AM,S1jvGQxHXMHWSh65bKQWMm3Zr8SJoarXg6,True,1,
0b1ab02f3f76523295f0774bc6d8c4cc,0,0,40,12/31/2015 6:00:00 AM,SKX2aXp4Lx5LR4MPkBH8BSCVh5tXZU73NG,True,1,
0b365d6e5c6365f94f6da0f8b61bd521,0,0,0,12/31/2015 6:00:00 AM,S5zrujB3114ezEvHDtPwAzjpiZJ9PxKPg3,True,1,
0b5cc9c673fa5de8039a54b5e7b1b598,1.25,0,10333.33,12/31/2015 6:00:00 AM,S7LgQBNkcwDHAZaptVhGKUhVkAcY4uUMQ2,True,1,
0b5ef259411ec18e8dac2be0b732fd23,690,0,414666.67,12/31/2015 6:00:00 AM,SKynT1ftxiikj4uZZAso8uyoFiYGjBZ44F,True,1,
0b994a7810d0dd2365e4cc898bb2f4c5,120,0,84666.67,12/31/2015 6:00:00 AM,S83S5Lgnymg6Tdy52vzv4MXxuGrvtHfnWS,True,1,
0be9e90abd892611038f594481f908f7,0,0,0,12/31/2015 6:00:00 AM,RzW1YgrfHUFC8SDuCdM4urJt6VZeNqTWHt,True,1,
0bec96de77d18de396c4be7f248fce0c,0,0,0,12/31/2015 6:00:00 AM,Ryob3ntKjsSoizndNJhkWr1KbY1fAG6CpT,True,1,
0bfb144cbccf53b65dd0569596ec0813,0,0,0,12/31/2015 6:00:00 AM,S2devS5Jt8E1NeHgzknXEfh8EKxbdrM1yP,True,1,
0c214883c0b26b5ebfa4c9d5580b6f7c,13.75,0,2280,12/31/2015 6:00:00 AM,SH5beTeqttwHZevZ8H3XP8m9uroYzvgUEY,True,1,
0c252370ab2e457722b4df91b9bcd50c,5,0,230,12/31/2015 6:00:00 AM,SGTiXF6Dzv7tQNmNCGxgc3MJK5hHnLARBy,True,1,
0c459c4ab87db8f26e3067ddaa4e3308,16.25,0,2160,12/31/2015 6:00:00 AM,SEenQFLKeyH9HJoAiksJLBTtdCHMHLWkxG,True,1,
0c52b2e7a3569a37670c71efad85de26,15,0,870,12/31/2015 6:00:00 AM,SFZQYu8eZV5kvk7k4a1tndRKvrVy9KV8qC,True,1,
0c81346eb28337eaec5a68953404d4d0,17.5,0,870,12/31/2015 6:00:00 AM,S5mZTkCFr7JmMhvDtqi2Hjo4XAHYYM3Rcq,True,1,
0c9f608d535be09ec392748b633505cc,0,0,0,12/31/2015 6:00:00 AM,SJijNMbg9TXns6GraCosUDBJxgCCriYKRC,True,1,
0c9fc513e638a2d005c523a28e7e928f,2000,0,126000,12/31/2015 6:00:00 AM,SLNis7Fx7ekR831h6AeaoMVNF8nTRxMkzf,True,1,
0c9fdb8e2ac6a9b6dfadd35e2e2f43a9,1.25,0,17.5,12/31/2015 6:00:00 AM,S8kbzpBPgfKpHDKXyZre97qbgiGV2TQGCV,True,1,
0d00a17af8781d5e1f3fcc220d4e43a3,1.25,0,13.75,12/31/2015 6:00:00 AM,RzbypDSjzcSTstrekKhzBeds4CfAZABDqb,True,1,
0d2062725ba51a7f308deaa3206c203c,8.75,0,31500,12/31/2015 6:00:00 AM,SC6CscxSbLNET3vrJZhaiibDmKoAzKUVr7,True,1,
0d2e5f83717b210fd0c7b501be8b4d93,0,0,75,12/31/2015 6:00:00 AM,SLDJ2wtuEyCw3U71yqwKRD9nUQMkPqpgwq,True,1,
0d4fe5e4d9b52eaf3d8f6aba05c686b9,0,0,0,12/31/2015 6:00:00 AM,S67nL4vELWwdDVzjgtEP4MxryarTZ9a8GB,True,1,
0d7f1e96b8cd94f85090f0afcefd6959,45,0,12000,12/31/2015 6:00:00 AM,SM5BPxktGwa7ABicssiAyNssvkLiGJg8tS,True,1,
0dd2023c0e4adbcb144e4b723ac93770,0,0,120,12/31/2015 6:00:00 AM,S3hEjG6Wn1bPBFLAFyvD8qQzR4ki2broC8,True,1,
0de1e5b14d1aa8bc9e23182b70135896,95,0,413333.33,12/31/2015 6:00:00 AM,SAPZGXUas16RK72Nyn7GCEwYBQzQqsN2bs,True,1,
0de87e305d5d3a9cd58bde8a9f84339b,1200,0,1472857.14,12/31/2015 6:00:00 AM,SLndMNvkqQwqArqyhRz4o7N9hKJKq3GR6m,True,1,
0de9afa3b9ff3870dc5da23599750cda,20,0,12166.67,12/31/2015 6:00:00 AM,SDjwnZr6WaphqdR3NAwzfonwj1wikzLr9R,True,1,
0dead8859f88a58ea1c5849aaced416b,1.25,0,170,12/31/2015 6:00:00 AM,SAmUDW7wNPH1aJp3sbZjvt5Qd3yZG1vv2G,True,1,
0ded68f4f2e69faf653e5ca9907038d2,55,0,8400,12/31/2015 6:00:00 AM,S98njQRiW4yVUhAskmmT3dbBW7qVibegLs,True,1,
0e64f42fe17a14ff4b5a8fbe28d05ffe,1.25,0,155,12/31/2015 6:00:00 AM,S78pYfxA6XuXN6LmqfAsLDFvqXnhK2HDik,True,1,
0e65751bb0e2dff626b7d4b346da15b8,10,0,4040,12/31/2015 6:00:00 AM,S1W4jekA2Z5amPf1bsUw3T2vWbaafzCvGf,True,1,
0e8f88f0e8109cdce2b348c07226513c,1.25,0,2160,12/31/2015 6:00:00 AM,SLuyVLxBy6zDL718s8b97vVV8ugviRFkLj,True,1,
0ea4ec2335db563b75502bfeaea14fa0,11.25,0,2960,12/31/2015 6:00:00 AM,S1vc6NUsq53qShcyGcG55GwjqCJFHvWjwo,True,1,
0eaaadc3d9be56100bc82a5027da56ec,185,0,712000,12/31/2015 6:00:00 AM,SFpipidda3F79BNpBG8n89h7NUYmi9KJfL,True,1,
