CPID,LocalMagnitude,NeuralMagnitude,TotalRAC,Synced Til,Address,CPID_Valid,Witnesses
051b0d7b45be4040013bdf0e90995c96,0,0,0,5/9/2016 6:00:00 AM,SFjnnyUDkpvnY1p3xMfKfeg2ybtGtoEKks,True,1,
052c3295a5facf0b2211926307d6bc96,0,0,0,5/9/2016 6:00:00 AM,S6j5FafWmzA36GuH18DgQ2PhdYMGfcoi1A,True,1,
0534e8b2f9dd6a1afd45ffa22a886fd3,0,0,0,5/9/2016 6:00:00 AM,SAoEBQZTmY5i1Dq1e9jZYjc3qg5GUqBfKR,True,1,
055c4895276cbbadaf59a973a7f2ab05,2.5,2.5,210,5/9/2016 6:00:00 AM,S9MYRdsEtDmYiPSd7muZcyLeLTmENS5Cxx,True,1,
0595abc0e31435cc8890014ea4a495da,17.5,17.5,3320,5/9/2016 6:00:00 AM,S34VyurU2P7fL54rZpMhL6VyGLMRQdj2xT,True,1,
05c21278af7999e749b1671ea90bc8f6,390,390,244000,5/9/2016 6:00:00 AM,SBTzLsCyRKrDU5bVRLt75Nx61eRapGGUCA,True,1,
05d55b711182cc781395e04cfa49ab91,0,0,180,5/9/2016 6:00:00 AM,SGdDqj8ordc47bF5DrxjgBZ89uC9m4kqLf,True,1,
05e140f3355b6f85ff7be2b6f3a4dd7e,5,5,2840,5/9/2016 6:00:00 AM,S9CLJK8qMndRLdTVEhuek3jNv1z7DVn7RE,True,1,
060f3495b54dbefe9b5bcef00b0df681,40,40,23833.33,5/9/2016 6:00:00 AM,S7uUfhjSr8H6HUUH6ac7vJQtYL5QvnPeL2,True,1,
061553c91eae5e21ff3e90b94dbb9496,0,0,0,5/9/2016 6:00:00 AM,S7UawvWoSBDHQSbPpL1Sxxf9vdyhWCr4o6,True,1,
061616c1f0065276dbec881c6d2a4ad3,21.25,21.25,3200,5/9/2016 6:00:00 AM,S7xnTBAqsBDEY6QcMhUNRiMsW1m7rH9jk2,True,1,
061bf70dfdbb0fcc10dc1427cd927f77,7.5,7.5,390,5/9/2016 6:00:00 AM,S8PDZBmzqWre4NWahaeGnaDXViWTUdbm7C,True,1,
0639224a79ad5696557a66bd2cda41b4,1.25,1.25,740,5/9/2016 6:00:00 AM,S3V6xTdbM7XbXRcJgPcpmDcHTx8jVToNNo,True,1,
